Date,Open,High,Low,Close,Adj Close,Volume
2015-11-23,552.000000,574.844971,552.000000,569.000000,529.182251,9911300
2015-11-24,567.000000,590.437012,556.000000,588.000000,546.852661,13098151
2015-11-25,588.000000,616.500000,560.000000,607.000000,564.523132,10396152
2015-11-26,607.000000,614.000000,596.500000,601.500000,559.407959,6917834
2015-11-27,599.500000,613.000000,598.000000,606.500000,564.058105,6338526
2015-11-30,607.000000,610.000000,600.000000,606.500000,564.058105,10062284
2015-12-01,608.500000,615.750000,601.000000,604.000000,561.732971,6195792
2015-12-02,603.500000,606.500000,600.750000,601.000000,558.942871,4941209
2015-12-03,600.000000,606.500000,597.500000,598.500000,556.617859,7777503
2015-12-04,592.000000,603.500000,587.500000,594.500000,552.897766,5678690
2015-12-07,599.000000,616.000000,596.950012,610.500000,567.778137,5946623
2015-12-08,599.000000,603.000000,577.590027,590.000000,548.712708,12239833
2015-12-09,594.000000,598.000000,573.000000,578.500000,538.017395,14689520
2015-12-10,577.500000,586.500000,565.000000,567.000000,527.322144,11109113
2015-12-11,567.500000,569.500000,547.234009,552.000000,513.371826,8093194
2015-12-14,557.500000,566.500000,537.500000,537.500000,499.886566,7774592
2015-12-15,542.500000,542.500000,530.049988,540.000000,502.211578,9279539
2015-12-16,543.500000,567.500000,542.000000,566.500000,526.857178,10182499
2015-12-17,577.000000,580.000000,570.750977,573.500000,533.367310,6547689
2015-12-18,567.500000,576.505005,565.500000,576.500000,536.157349,9258075
2015-12-21,571.500000,578.500000,566.020020,569.500000,529.647217,4641307
2015-12-22,576.000000,577.000000,559.000000,565.500000,525.927063,5689577
2015-12-23,571.000000,598.500000,567.534973,590.500000,549.177734,7470175
2015-12-24,null,null,null,null,null,null
2015-12-29,596.000000,596.000000,583.500000,586.500000,545.457581,4380208
2015-12-30,587.000000,587.000000,578.500000,579.500000,538.947388,3619910
2015-12-31,null,null,null,null,null,null
2016-01-04,565.500000,569.179993,558.000000,560.000000,520.812073,4249909
2016-01-05,563.500000,569.219971,556.000000,564.500000,524.997070,3965447
2016-01-06,564.000000,568.000000,554.780029,560.000000,520.812073,4072003
2016-01-07,544.000000,548.500000,541.000000,546.000000,507.791748,7599628
2016-01-08,550.000000,564.000000,547.000000,559.500000,520.347046,11434425
2016-01-11,558.000000,562.500000,552.000000,552.000000,513.371826,9133424
2016-01-12,554.500000,564.000000,549.500000,556.000000,517.091980,4819358
2016-01-13,563.000000,568.869995,556.900024,560.500000,521.277100,3143463
2016-01-14,554.000000,560.500000,544.184998,556.500000,517.556946,5744649
2016-01-15,554.000000,559.500000,535.500000,544.000000,505.931732,8395907
2016-01-18,542.000000,550.000000,536.500000,538.500000,500.816559,4589563
2016-01-19,548.500000,557.500000,547.500000,550.000000,511.511810,4401484
2016-01-20,539.000000,541.500000,528.000000,531.000000,493.841370,9260419
2016-01-21,530.000000,535.500000,513.710022,534.500000,497.096497,12056529
2016-01-22,545.000000,552.000000,540.000000,543.000000,505.001709,6159601
2016-01-25,546.500000,549.500000,540.500000,544.000000,505.931732,4933616
2016-01-26,537.500000,546.000000,535.500000,543.500000,505.466736,5087901
2016-01-27,542.500000,548.000000,534.500000,539.500000,501.746613,7110404
2016-01-28,540.000000,549.000000,535.000000,542.500000,504.536591,6497966
2016-01-29,550.000000,555.000000,537.500000,555.000000,516.161987,7494707
2016-02-01,560.500000,564.000000,543.320007,555.000000,516.161987,5937534
2016-02-02,552.500000,552.500000,522.000000,531.500000,494.306396,7205913
2016-02-03,531.000000,532.500000,504.000000,513.000000,477.101044,6816525
2016-02-04,522.000000,526.500000,510.000000,523.000000,486.401245,8426379
2016-02-05,527.000000,541.000000,517.000000,529.000000,491.981293,8360741
2016-02-08,521.500000,527.500000,506.500000,515.000000,478.961060,10233057
2016-02-09,515.000000,518.500000,497.000000,512.500000,476.636017,7603596
2016-02-10,514.000000,528.000000,507.000000,528.000000,491.051270,9853974
2016-02-11,521.500000,536.750000,506.500000,530.000000,492.911407,10383917
2016-02-12,600.000000,629.000000,585.000000,606.000000,563.593018,22498058
2016-02-15,619.500000,624.500000,594.000000,615.000000,571.963196,12199897
2016-02-16,618.500000,632.000000,611.500000,631.500000,587.308594,9787425
2016-02-17,631.000000,678.000000,629.000000,678.000000,630.554626,14430737
2016-02-18,681.000000,691.500000,656.125000,661.000000,614.744202,9277556
2016-02-19,658.500000,663.000000,638.000000,642.000000,597.073792,7700875
2016-02-22,647.000000,659.500000,644.200012,658.500000,612.419067,2957858
2016-02-23,658.000000,677.000000,639.632996,663.500000,617.069336,6934304
2016-02-24,660.500000,666.000000,642.500000,653.500000,607.769043,7131386
2016-02-25,661.000000,687.000000,659.000000,670.000000,623.114441,6367485
2016-02-26,672.500000,689.500000,671.500000,679.000000,631.484558,5033723
2016-02-29,672.500000,682.000000,670.500000,679.000000,631.484558,7459985
2016-03-01,673.000000,690.500000,669.500000,683.000000,635.204712,5487937
2016-03-02,689.000000,693.000000,674.000000,680.000000,632.414551,16599237
2016-03-03,683.000000,738.000000,680.000000,716.000000,665.895386,11788475
2016-03-04,720.000000,728.500000,714.000000,722.500000,671.940491,6100977
2016-03-07,723.000000,732.234009,707.049988,721.500000,671.010437,6508392
2016-03-08,714.500000,720.500000,697.500977,706.500000,657.060242,5546973
2016-03-09,706.500000,707.500000,696.500000,700.000000,651.015076,8910563
2016-03-10,697.500000,701.500000,681.500000,682.000000,634.274658,6186536
2016-03-11,690.500000,694.000000,682.099976,686.000000,637.994751,3019218
2016-03-14,688.000000,698.000000,678.000000,681.500000,633.809692,5382775
2016-03-15,676.000000,682.000000,673.000000,676.000000,628.694519,3355734
2016-03-16,680.000000,680.000000,665.500000,675.500000,628.229492,5868074
2016-03-17,680.000000,703.000000,673.000000,701.500000,652.410095,4869163
2016-03-18,700.000000,723.500000,698.500000,716.500000,666.360413,7164198
2016-03-21,712.500000,715.000000,700.000000,702.500000,653.340088,3786583
2016-03-22,699.000000,700.500000,684.158997,694.500000,645.899902,4492571
2016-03-23,696.000000,696.500000,671.000000,679.000000,631.484558,4182957
2016-03-24,674.000000,683.000000,664.500000,678.500000,631.019531,3940959
2016-03-29,678.000000,686.000000,670.000000,674.500000,627.299438,2520678
2016-03-30,681.500000,699.500000,679.700012,690.000000,641.714783,3715961
2016-03-31,687.500000,690.500000,674.000000,682.000000,634.274658,4206830
2016-04-01,675.000000,676.000000,649.276001,662.500000,616.139160,6785301
2016-04-04,652.500000,662.000000,648.500000,659.500000,613.349121,4161104
2016-04-05,652.500000,661.619995,643.500000,652.000000,606.374084,5125688
2016-04-06,654.500000,659.500000,647.500000,658.000000,611.954102,3009111
2016-04-07,660.000000,665.500000,651.158020,655.000000,609.164063,4050149
2016-04-08,658.500000,673.500000,655.500000,667.000000,620.324219,2878738
2016-04-11,666.000000,670.281982,661.000000,664.000000,617.534241,2127071
2016-04-12,663.500000,665.000000,650.450012,657.500000,611.489136,2968158
2016-04-13,663.500000,674.500000,663.151978,674.500000,627.299438,4706628
2016-04-14,676.500000,676.500000,662.500000,672.000000,624.974426,3350693
2016-04-15,672.000000,674.500000,663.500000,665.000000,618.464233,3586458
2016-04-18,660.000000,666.000000,654.000000,665.500000,618.929260,2630217
2016-04-19,664.500000,702.000000,664.500000,696.500000,647.759949,5594435
2016-04-20,691.500000,695.000000,677.950012,684.000000,636.134644,4099883
2016-04-21,683.000000,692.500000,679.000000,692.000000,643.574951,2979053
2016-04-22,688.500000,691.000000,680.000000,684.000000,636.134644,2234049
2016-04-25,682.500000,686.500000,672.000000,673.000000,625.904419,2909958
2016-04-26,673.500000,677.500000,665.000000,669.000000,622.184326,3036276
2016-04-27,670.000000,673.000000,661.289978,673.000000,625.904419,3361929
